RegionID,SizeRank,NAME,STATEFP,STATE,COST
2732,100,Jefferson County,1,AL,210551
1208,171,Mobile County,1,AL,188762
1894,184,Madison County,1,AL,306936
2967,297,Montgomery County,1,AL,151055
1525,302,Baldwin County,1,AL,376754
3043,308,Tuscaloosa County,1,AL,225589
1381,312,Shelby County,1,AL,347134
78,382,Lee County,1,AL,308132
1229,520,Morgan County,1,AL,225092
1569,543,Calhoun County,1,AL,155977
1781,577,Houston County,1,AL,185012
1007,592,Etowah County,1,AL,167290
2780,601,Limestone County,1,AL,315348
2405,626,Marshall County,1,AL,219108
2952,643,Lauderdale County,1,AL,211150
3121,660,Saint Clair County,1,AL,270763
1003,672,Elmore County,1,AL,253737
1647,673,Cullman County,1,AL,231522
2853,700,Talladega County,1,AL,184283
1656,771,De Kalb County,1,AL,193348
1464,833,Walker County,1,AL,178423
883,894,Blount County,1,AL,218424
2005,897,Russell County,1,AL,175476
1524,904,Autauga County,1,AL,238053
1636,926,Colbert County,1,AL,185505
945,961,Coffee County,1,AL,190621
1791,964,Jackson County,1,AL,180590
145,1013,Dale County,1,AL,154680
1614,1090,Chilton County,1,AL,210014
3038,1169,Tallapoosa County,1,AL,221562
974,1222,Dallas County,1,AL,75678
2672,1262,Covington County,1,AL,140665
2258,1285,Escambia County,1,AL,147417
2181,1338,Chambers County,1,AL,124246
271,1387,Pike County,1,AL,160017
2378,1390,Lawrence County,1,AL,202882
2270,1417,Franklin County,1,AL,159294
1159,1485,Marion County,1,AL,143529
1034,1585,Geneva County,1,AL,145671
1531,1635,Barbour County,1,AL,141008
2187,1645,Cherokee County,1,AL,218257
2101,1704,Winston County,1,AL,189020
939,1716,Clarke County,1,AL,130174
100,1751,Bibb County,1,AL,184516
2489,1772,Randolph County,1,AL,184015
1212,1869,Monroe County,1,AL,132110
618,1905,Macon County,1,AL,91768
1917,1913,Marengo County,1,AL,135604
1970,1920,Pickens County,1,AL,126255
898,1924,Butler County,1,AL,108437
552,2023,Henry County,1,AL,171882
1696,2077,Fayette County,1,AL,123228
3047,2127,Washington County,1,AL,142106
2204,2151,Cleburne County,1,AL,212084
170,2165,Hale County,1,AL,156880
116,2206,Clay County,1,AL,145519
587,2232,Lamar County,1,AL,118063
2237,2267,Crenshaw County,1,AL,118865
1616,2298,Choctaw County,1,AL,106490
1408,2316,Sumter County,1,AL,117828
1640,2367,Conecuh County,1,AL,113287
1489,2441,Wilcox County,1,AL,134828
456,2456,Coosa County,1,AL,173918
1567,2461,Bullock County,1,AL,114942
1888,2463,Lowndes County,1,AL,126855
674,2590,Perry County,1,AL,118060
1051,2667,Greene County,1,AL,108496
1981,179,Pulaski County,5,AR,197343
864,248,Benton County,5,AR,351094
3048,279,Washington County,5,AR,324106
2844,509,Sebastian County,5,AR,183401
2260,517,Faulkner County,5,AR,239011
1362,521,Saline County,5,AR,240903
2674,560,Craighead County,5,AR,204930
1718,606,Garland County,5,AR,241853
805,735,White County,5,AR,187181
1149,755,Lonoke County,5,AR,218040
2733,792,Jefferson County,5,AR,92048
296,854,Pope County,5,AR,191185
2226,874,Crawford County,5,AR,194139
2907,1031,Crittenden County,5,AR,143850
1052,1078,Greene County,5,AR,180205
1205,1138,Miller County,5,AR,163197
856,1168,Baxter County,5,AR,213693
3104,1179,Mississippi County,5,AR,88347
761,1220,Union County,5,AR,117294
3167,1255,Independence County,5,AR,150089
390,1265,Boone County,5,AR,209207
2937,1389,Hot Spring County,5,AR,151969
1589,1532,Carroll County,5,AR,242079
1817,1616,Johnson County,5,AR,165362
2205,1660,Cleburne County,5,AR,240323
3224,1705,Saint Francis County,5,AR,74762
2483,1726,Poinsett County,5,AR,111877
2211,1732,Columbia County,5,AR,125587
2467,1736,Ouachita County,5,AR,93714
438,1794,Clark County,5,AR,140884
604,1807,Logan County,5,AR,145648
954,1835,Conway County,5,AR,156948
339,1849,Yell County,5,AR,145676
2716,1861,Hempstead County,5,AR,109279
284,1907,Polk County,5,AR,166339
839,1914,Ashley County,5,AR,83785
2490,1958,Randolph County,5,AR,132708
530,1985,Grant County,5,AR,198056
150,2004,Drew County,5,AR,148254
2128,2014,Arkansas County,5,AR,109792
716,2016,Sharp County,5,AR,134215
2271,2024,Franklin County,5,AR,155511
2475,2039,Phillips County,5,AR,45262
464,2041,Cross County,5,AR,132361
1792,2043,Jackson County,5,AR,80279
1160,2051,Marion County,5,AR,199839
1895,2066,Madison County,5,AR,231614
2379,2083,Lawrence County,5,AR,110964
1375,2094,Sevier County,5,AR,144371
2858,2107,Van Buren County,5,AR,154079
117,2178,Clay County,5,AR,96519
571,2249,Izard County,5,AR,151189
1863,2283,Lincoln County,5,AR,111127
1098,2293,Howard County,5,AR,133614
732,2322,Stone County,5,AR,172194
3171,2344,Little River County,5,AR,139468
1019,2345,Fulton County,5,AR,162549
475,2383,Desha County,5,AR,85078
1553,2449,Bradley County,5,AR,95136
934,2460,Chicot County,5,AR,81830
272,2470,Pike County,5,AR,157108
675,2479,Perry County,5,AR,148488
705,2495,Scott County,5,AR,131185
79,2580,Lee County,5,AR,82567
2968,2607,Montgomery County,5,AR,186946
1977,2636,Prairie County,5,AR,122351
1372,2664,Searcy County,5,AR,150699
2666,2683,Cleveland County,5,AR,136502
1262,2710,Newton County,5,AR,205763
1213,2747,Monroe County,5,AR,72593
975,2769,Dallas County,5,AR,80770
2768,2786,Lafayette County,5,AR,84934
2604,2790,Woodruff County,5,AR,73141
1570,2914,Calhoun County,5,AR,109104
2402,3,Maricopa County,4,AZ,471597
281,44,Pima County,4,AZ,347457
685,166,Pinal County,4,AZ,380028
2112,291,Yavapai County,4,AZ,505217
1210,321,Mohave County,4,AZ,356413
347,334,Yuma County,4,AZ,273554
2207,456,Coconino County,4,AZ,625699
1634,513,Cochise County,4,AZ,249784
1253,575,Navajo County,4,AZ,382113
834,817,Apache County,4,AZ,289713
164,959,Gila County,4,AZ,378248
3024,1045,Santa Cruz County,4,AZ,266443
1047,1244,Graham County,4,AZ,265173
1139,2045,La Paz County,4,AZ,289341
2309,2526,Greenlee County,4,AZ,155012
3101,0,Los Angeles County,6,CA,889579
2841,4,San Diego County,6,CA,946983
1286,5,Orange County,6,CA,1138455
2832,9,Riverside County,6,CA,604158
3250,13,San Bernardino County,6,CA,546351
3136,16,Santa Clara County,6,CA,1651872
1510,19,Alameda County,6,CA,1147937
3017,23,Sacramento County,6,CA,532208
3159,37,Contra Costa County,6,CA,835413
1018,46,Fresno County,6,CA,393141
204,61,Kern County,6,CA,347079
3227,65,San Francisco County,6,CA,1289946
2061,74,Ventura County,6,CA,867263
3134,83,San Joaquin County,6,CA,540149
2842,85,San Mateo County,6,CA,1582818
3033,124,Stanislaus County,6,CA,464075
1396,144,Sonoma County,6,CA,809679
1442,151,Tulare County,6,CA,342027
1395,158,Solano County,6,CA,590322
3229,159,Santa Barbara County,6,CA,982975
2444,161,Monterey County,6,CA,837331
1325,177,Placer County,6,CA,685803
3261,247,San Luis Obispo County,6,CA,892801
1196,249,Merced County,6,CA,410492
3025,254,Santa Cruz County,6,CA,1171165
625,266,Marin County,6,CA,1488480
418,314,Butte County,6,CA,400739
340,315,Yolo County,6,CA,618758
2691,350,El Dorado County,6,CA,664142
1380,368,Shasta County,6,CA,369514
2354,373,Imperial County,6,CA,336815
1156,430,Madera County,6,CA,406440
580,446,Kings County,6,CA,345217
255,472,Napa County,6,CA,921883
2351,476,Humboldt County,6,CA,444453
1261,600,Nevada County,6,CA,616716
1415,610,Sutter County,6,CA,432063
2796,654,Mendocino County,6,CA,509628
346,713,Yuba County,6,CA,410503
217,797,Lake County,6,CA,316805
1426,831,Tehama County,6,CA,314059
3020,852,San Benito County,6,CA,779119
2584,938,Tuolumne County,6,CA,393058
2643,1082,Calaveras County,6,CA,447622
2548,1108,Siskiyou County,6,CA,287956
829,1200,Amador County,6,CA,425661
1143,1396,Lassen County,6,CA,227811
524,1507,Glenn County,6,CA,356723
2678,1552,Del Norte County,6,CA,356250
952,1783,Colusa County,6,CA,365414
1329,1897,Plumas County,6,CA,374836
188,1942,Inyo County,6,CA,491948
2403,2019,Mariposa County,6,CA,390761
2056,2109,Trinity County,6,CA,288544
253,2268,Mono County,6,CA,750658
647,2586,Modoc County,6,CA,185721
1391,3030,Sierra County,6,CA,335639
828,3165,Alpine County,6,CA,488005
1689,89,El Paso County,8,CO,458553
989,96,Denver County,8,CO,576347
2127,104,Arapahoe County,8,CO,546867
2734,116,Jefferson County,8,CO,637882
353,139,Adams County,8,CO,504952
1849,202,Larimer County,8,CO,554603
1670,204,Douglas County,8,CO,726071
1549,216,Boulder County,8,CO,748715
329,220,Weld County,8,CO,496084
1337,399,Pueblo County,8,CO,288334
251,436,Mesa County,8,CO,396725
2894,766,Broomfield County,8,CO,654530
2300,871,Garfield County,8,CO,656884
491,932,Eagle County,8,CO,1298368
2369,933,La Plata County,8,CO,645043
1713,1021,Fremont County,8,CO,331022
2445,1152,Montrose County,8,CO,419959
472,1437,Delta County,8,CO,384751
1403,1440,Summit County,8,CO,980264
1230,1502,Morgan County,8,CO,337361
2807,1609,Montezuma County,8,CO,368191
1001,1611,Elbert County,8,CO,685125
699,1654,Routt County,8,CO,1065361
1427,1671,Teller County,8,CO,487702
605,1784,Logan County,8,CO,247961
1606,1911,Chaffee County,8,CO,644741
663,1948,Otero County,8,CO,153411
1324,2008,Pitkin County,8,CO,2330013
268,2011,Park County,8,CO,547989
2313,2044,Gunnison County,8,CO,688337
1511,2076,Alamosa County,8,CO,293911
528,2123,Grand County,8,CO,755538
2950,2188,Las Animas County,8,CO,247571
2618,2270,Archuleta County,8,CO,545697
1209,2272,Moffat County,8,CO,278292
